"t0","order_of_test","time_start_battery","order_in_test","word_pool","word","endcoding","recall_session","remember","confidence","correct","ID","time","t0_absolute","Woman","SD"
1424446854980,2,298876,1,1,6,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,7,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,8,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,9,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,10,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,11,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,12,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,13,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,14,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,15,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,16,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,17,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,18,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,19,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,20,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,21,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,22,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,23,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,24,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,1,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,2,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,3,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,4,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,5,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,6,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,7,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,8,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,9,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
