id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
Sl_305,2016-05-22,15:03:03,,,1,91206,120,blue,blue,blue,677,1,1,1
Sl_305,2016-05-22,15:03:04,,,1,91869,121,yellow,red,yellow,661,1,0,2
Sl_305,2016-05-22,15:03:04,,,1,92531,122,green,blue,green,660,1,0,4
Sl_305,2016-05-22,15:03:05,,,1,93269,123,yellow,red,yellow,737,1,0,4
Sl_305,2016-05-22,15:03:06,,,1,94048,124,green,green,green,779,1,1,3
Sl_305,2016-05-22,15:03:07,,,1,94813,125,yellow,blue,yellow,765,1,0,2
Sl_305,2016-05-22,15:03:07,,,1,95396,126,green,yellow,green,583,1,0,4
Sl_305,2016-05-22,15:03:08,,,1,96319,127,red,red,red,922,1,1,3
Sl_305,2016-05-22,15:03:09,,,1,97113,128,green,yellow,green,793,1,0,2
Sl_305,2016-05-22,15:03:10,,,1,97756,129,blue,blue,blue,643,1,1,3
Sl_305,2016-05-22,15:03:10,,,1,98314,130,green,yellow,green,556,1,0,2
Sl_305,2016-05-22,15:03:11,,,1,98851,131,yellow,blue,yellow,537,1,0,4
Sl_305,2016-05-22,15:03:11,,,1,99379,132,red,red,red,527,1,1,3
Sl_305,2016-05-22,15:03:12,,,1,100147,133,yellow,green,yellow,767,1,0,2
Sl_305,2016-05-22,15:03:13,,,1,100756,134,blue,yellow,blue,609,1,0,4
Sl_305,2016-05-22,15:03:13,,,1,101580,135,red,red,red,822,1,1,3
Sl_305,2016-05-22,15:03:14,,,1,102231,136,green,green,green,650,1,1,1
Sl_305,2016-05-22,15:03:15,,,1,102931,137,yellow,red,yellow,699,1,0,2
Sl_305,2016-05-22,15:03:15,,,1,103589,138,blue,yellow,blue,658,1,0,4
Sl_305,2016-05-22,15:03:16,,,1,104898,139,red,blue,blue,1308,0,0,4
Sl_305,2016-05-22,15:03:17,,,1,106331,140,green,green,green,1433,1,1,3
Sl_305,2016-05-22,15:03:19,,,1,106952,141,yellow,blue,yellow,621,1,0,2
Sl_305,2016-05-22,15:03:19,,,1,107696,142,red,red,red,743,1,1,3
Sl_305,2016-05-22,15:03:20,,,1,108298,143,blue,blue,blue,597,1,1,1
Sl_305,2016-05-22,15:03:21,,,1,108963,144,yellow,green,yellow,663,1,0,2
Sl_305,2016-05-22,15:03:22,,,1,109630,145,blue,blue,blue,666,1,1,3
Sl_305,2016-05-22,15:03:22,,,1,110396,146,red,yellow,red,765,1,0,2
Sl_305,2016-05-22,15:03:23,,,1,111046,147,yellow,green,yellow,648,1,0,4
Sl_305,2016-05-22,15:03:24,,,1,111779,148,red,red,red,732,1,1,3
Sl_305,2016-05-22,15:03:24,,,1,112330,149,yellow,yellow,yellow,550,1,1,1
Sl_305,2016-05-22,15:03:25,,,1,113451,150,red,blue,red,1120,1,0,2
Sl_305,2016-05-22,15:03:26,,,1,114053,151,green,green,green,601,1,1,3
Sl_305,2016-05-22,15:03:27,,,1,114568,152,red,yellow,red,514,1,0,2
Sl_305,2016-05-22,15:03:27,,,1,115086,153,green,green,green,518,1,1,3
Sl_305,2016-05-22,15:03:28,,,1,115597,154,red,red,red,510,1,1,1
Sl_305,2016-05-22,15:03:28,,,1,116280,155,yellow,blue,yellow,683,1,0,2
Sl_305,2016-05-22,15:03:29,,,1,116781,156,red,red,red,501,1,1,3
Sl_305,2016-05-22,15:03:29,,,1,117513,157,yellow,green,yellow,731,1,0,2
Sl_305,2016-05-22,15:03:30,,,1,117980,158,red,red,red,467,1,1,3
Sl_305,2016-05-22,15:03:31,,,1,118546,159,green,green,green,566,1,1,1
Sl_305,2016-05-22,15:03:31,,,1,119119,160,yellow,blue,yellow,572,1,0,2
Sl_305,2016-05-22,15:03:32,,,1,120146,161,red,red,red,1027,1,1,3
Sl_305,2016-05-22,15:03:33,,,1,120753,162,green,green,green,607,1,1,1
Sl_305,2016-05-22,15:03:33,,,1,121479,163,red,blue,red,726,1,0,2
Sl_305,2016-05-22,15:03:34,,,1,122013,164,yellow,yellow,yellow,533,1,1,3
Sl_305,2016-05-22,15:03:35,,,1,122567,165,red,red,red,554,1,1,1
Sl_305,2016-05-22,15:03:35,,,1,123372,166,green,blue,green,804,1,0,2
Sl_305,2016-05-22,15:03:36,,,1,124063,167,blue,yellow,blue,691,1,0,4
Sl_305,2016-05-22,15:03:37,,,1,124829,168,yellow,red,yellow,765,1,0,4
Sl_305,2016-05-22,15:03:37,,,1,125619,169,green,yellow,green,788,1,0,4
Sl_305,2016-05-22,15:03:38,,,1,125670,170,red,red,,50,0,1,3
